name,title,url,date,languages,tags,tags_en,domain,author,meta_description,description,description_en,og_img_url
under-engineered-responsive-tables,Under-Engineered Responsive Tables,https://adrianroselli.com/2020/11/under-engineered-responsive-tables.html,2020-11-25,en,"#Barrierefreiheit, #HTML, #Webentwicklung","#Accessibility, #HTML, #Webdev",adrianroselli.com,,"I have written a bunch about responsive tables. Maybe too much. I keep trying to give developers the information they need to make informed decisions — ARIA attributes, screen reader & browser pairing results, bugs, and so on. I have spread things out over years of posts. I have filed…",Ein umfangreicher Blogartikel zu responsiven Tabellen mit der Barrierefreiheit im Fokus.,A comprehensive blog article on responsive tables with a focus on accessibility.,https://adrianroselli.com/wp-content/uploads/2020/11/under-engineered-responsive-tables_thumb-300x300.png
standards-for-writing-accessibly,Standards for Writing Accessibly,https://alistapart.com/article/standards-for-writing-accessibly/,2020-07-21,en,#Barrierefreiheit,#Accessibility,alistapart.com,,"In this excerpt from Writing Is Designing, Michael J. Metts and Andy Welfle discuss critical accessibility considerations for content authors, including reading order, references to additional content, and instructions.",Einige wertvolle Tipps zur Barrierefreiheit aus dem Buch «Writing Is Designing» sind in diesem Blogartikel zu finden.,"Some valuable tips on accessibility from the book ""Writing Is Designing"" can be found in this blog article.",https://i0.wp.com/alistapart.com/wp-content/uploads/2018/10/excerptillustration_300.png?fit=1200%2C586&ssl=1
our-users-have-no-disabilities,“Our Users Have no Disabilities”,https://axesslab.com/users-no-disabilities/,2021-03-14,en,#Barrierefreiheit,#Accessibility,axesslab.com,,There are a lot of unfortunate misconceptions about people with disabilities. Many trickle down into IT-teams who use them as arguments not to care about…,"Wieso es ein Irrglauben ist, dass Barrierefreiheit nicht nötig ist, wird hier etwas beleuchtet.",Why it is a misconception that accessibility is not necessary is explained here.,https://axesslab.com/wp-content/uploads/2017/12/featured-400x400.png
5-keys-to-accessible-web-typography,5 Keys to Accessible Web Typography,https://betterwebtype.com/5-keys-to-accessible-web-typography/,2021-02-25,en,"#Barrierefreiheit, #Typografie","#Accessibility, #Typography",betterwebtype.com,,I wrote about fluid web typography in last month’s blog post and I realised that a lot of the popular implementation techniques come with accessibility issues. So I wanted to go back and revisit the basics and the best practices of accessible web typography.,Fünf Tipps für barrierefreie Typografie.,Five tips for accessible typography.,https://betterwebtype.com/assets/img/posts/5-steps-to-accessible-web-typography/post@2x.jpg
a-guide-to-combining-fonts,A Guide to Combining Fonts,https://betterwebtype.com/guide-to-combining-fonts/,2021-03-03,en,#Typografie,#Typography,betterwebtype.com,,"Combining fonts is one of the trickiest parts of typography. Here’s a guide, combined with an example to help you get font combinations right.",Auf was geachtet werden sollte wenn verschiedene Schriften miteinander kombiniert werden.,What you should pay attention to when combining different fonts.,https://betterwebtype.com/assets/img/posts/combining-fonts-guide/post@2x.jpg
colour-management-part-1,"Colour management, part 1",https://bjango.com/articles/colourmanagementgamut/,2021-03-14,en,#Farbmanagement,#Colormanagement,bjango.com,,"If someone asked you to build a coffee table and they specified the legs as a height of 50, what do you think that would mean? 50 kilometres? 50 feet? 50 inches? 50 millimetres? Probably 50 centimetres. You can’t know for sure, but you can guess, based on the table’s intended use — 50 kilometres, 50 feet, and 50 inches are way too big for a coffee table, and 50 millimetres is way too small.",Der erste Teil einer Artikelserie zum Thema Farbmanagement.,The first part of a series of articles on color management.,https://bjango.com/images/site-icons/bjango-cover.png
building-a-css-grid-overlay,Building A CSS Grid Overlay,https://css-tricks.com/building-css-grid-overlay/,2021-03-14,en,"#CSS, #Responsive","#CSS, #Responsive",css-tricks.com,,"Let's take a look at what it takes to build a grid overlay with CSS. It will be responsive, easily customizable and make heavy use of CSS variables",Anleitung um mit CSS Grid ein Layoutraster anzuzeigen.,Instructions for displaying a layout grid with CSS Grid.,https://i0.wp.com/css-tricks.com/wp-content/uploads/2017/03/s_7887F2C7EE34D61FF16137826B5D88AC920BD1E146FAAC42AB4B6AB5B2DEAC6D_1488844298106_Repeats2x.png
grid-garden,Grid Garden,https://cssgridgarden.com/#de,2020-07-31,en,"#CSS, #eLearning, #Webentwicklung","#CSS, #eLearning, #Webdev",cssgridgarden.com,,A game for learning CSS grid layout,Auf CSS Grid Garden kann spielerisch der Umgang mit Layout Raster (CSS Grid) gelernt werden.,CSS Grid Garden is a fun way to learn how to use layout grids (CSS Grid).,https://cssgridgarden.com/images/screenshot.png
optimizing-images,Optimizing Images,https://designingforperformance.com/optimizing-images/,2021-03-14,en,"#Bildoptimierung, #Performance","#ImageOptimization, #Performance",designingforperformance.com,,"Speed up your site by optimizing the images on your site, finding a balance between aesthetics and file weight. Learn how in this chapter of Designing for Performance.",Ein umfangreicher Artikel für die performante Verwendung von Bildern fürs Web. Dies ist ein Auszug aus dem Buch *Designing for Performance*.,A comprehensive article for the high-performance use of images for the web. This is an excerpt from the book *Designing for Performance*.,https://designingforperformance.com/css/book-cover.png
http-header-security-test---http-observatory--mdn,HTTP Header Security Test - HTTP Observatory | MDN,https://developer.mozilla.org/en-US/observatory,2024-08-19,en,#Sicherheit,#Security,mozilla.org,,"Test your site’s HTTP headers, including CSP and HSTS, to find security problems and get actionable recommendations to make your website more secure. Test other websites to see how you compare.",Ein Security Test-Tool um eine beliebige Website zu testen.,A security test tool to test any website.,
